run,label,step,tool_call_count_mean,reward_mean
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",81,2.7265625,0.41796875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",82,2.861328125,0.48828125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",83,2.275390625,0.474609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",84,2.7109375,0.421875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",85,2.345703125,0.431640625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",86,2.71875,0.458984375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",87,3.103515625,0.404296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",88,2.578125,0.486328125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",89,2.943359375,0.455078125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",90,2.826171875,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",91,3.19921875,0.470703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",92,3.091796875,0.4140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",93,3.310546875,0.486328125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",94,3.337890625,0.408203125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",95,3.38671875,0.451171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",96,3.833984375,0.396484375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",97,3.486328125,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",98,3.50390625,0.439453125
